matrix_size,Is_serial,Is_row_or_collumn,Execution_time
100,1,0,0.000076
100,1,0,0.000075
100,1,0,0.000067
100,1,0,0.000066
1000,1,0,0.001572
1000,1,0,0.001436
1000,1,0,0.001531
1000,1,0,0.001487
10000,1,0,0.143941
10000,1,0,0.143711
10000,1,0,0.144874
10000,1,0,0.144000
100,1,1,0.000019
100,1,1,0.000018
100,1,1,0.000072
100,1,1,0.000053
1000,1,1,0.002138
1000,1,1,0.002101
1000,1,1,0.002171
1000,1,1,0.003390
10000,1,1,0.442617
10000,1,1,0.442067
10000,1,1,0.445595
10000,1,1,0.439776
